[18/4/2022 21:37:0] /goto nandinho rp
[18/4/2022 21:37:11] /i 8985
[18/4/2022 21:37:35] /i 8985
[18/4/2022 21:37:55] /i 2469
[18/4/2022 21:38:34] /goto lord kycas
[18/4/2022 21:38:56] /t
[18/4/2022 21:39:21] /goto Zellians
[18/4/2022 21:40:0] /goto Ocrime Eh Gostoso
[18/4/2022 21:40:14] /i 2160
[18/4/2022 21:43:30] /i 3423
[18/4/2022 21:43:36] /r
[18/4/2022 21:43:40] /r
[18/4/2022 21:46:0] /c dan valioso
[18/4/2022 21:46:50] /c nandinho rp
[18/4/2022 21:47:13] /c 8888
[18/4/2022 21:47:21] /i 8888
[18/4/2022 21:47:53] /i 2523
[18/4/2022 21:47:56] /i 2523
[18/4/2022 21:53:1] /i 2565
[18/4/2022 21:53:10] /i 2365
[18/4/2022 21:53:34] /i 2365
[18/4/2022 21:55:18] /i 2523
[18/4/2022 21:56:19] /i 8890
[18/4/2022 21:56:48] /i 2495
[18/4/2022 21:57:0] /i 2495
[18/4/2022 21:57:2] /i 8890
[18/4/2022 21:57:5] /i 2523
[18/4/2022 22:2:55] /i 8890
[18/4/2022 22:2:58] /i 2523
[18/4/2022 22:3:5] /i 2495
[18/4/2022 22:3:10] /i 8890
[18/4/2022 22:3:20] /i 2365
[18/4/2022 22:3:37] /goto oldskull
[18/4/2022 22:24:6] /goto antiguera scripts
[18/4/2022 22:24:7] /goto antiguera scripts
[18/4/2022 22:24:9] /goto antiguera script
[18/4/2022 22:24:27] /goto Antigueira Scripts
[18/4/2022 22:24:46] /r
[18/4/2022 22:24:52] /r
[18/4/2022 22:25:8] /t
[18/4/2022 22:36:55] /i 8985
[18/4/2022 22:37:32] /i 7735
[19/4/2022 10:31:42] /addskill Satisfaction, level
[19/4/2022 10:32:1] /addskill Satisfaction, magic level
[19/4/2022 10:32:1] /addskill Satisfaction, magic level
[19/4/2022 10:32:2] /addskill Satisfaction, magic level
[19/4/2022 10:32:2] /addskill Satisfaction, magic level
[19/4/2022 10:32:2] /addskill Satisfaction, magic level
[19/4/2022 10:32:6] /addskill Satisfaction, magic level
[19/4/2022 10:32:6] /addskill Satisfaction, magic level
[19/4/2022 10:32:6] /addskill Satisfaction, magic level
[19/4/2022 10:32:6] /addskill Satisfaction, magic level
[19/4/2022 10:32:7] /addskill Satisfaction, magic level
[19/4/2022 10:32:7] /addskill Satisfaction, magic level
[19/4/2022 10:32:7] /addskill Satisfaction, magic level
[19/4/2022 10:32:7] /addskill Satisfaction, magic level
[19/4/2022 10:32:8] /addskill Satisfaction, magic level
[19/4/2022 10:32:8] /addskill Satisfaction, magic level
[19/4/2022 10:32:11] /addskill Satisfaction, magic level
[19/4/2022 10:32:12] /addskill Satisfaction, magic level
[19/4/2022 10:32:20] /addskill Satisfaction, level
[19/4/2022 10:32:22] /addskill Satisfaction, level
[19/4/2022 10:32:22] /addskill Satisfaction, level
[19/4/2022 10:32:22] /addskill Satisfaction, level
[19/4/2022 10:32:22] /addskill Satisfaction, level
[19/4/2022 10:32:23] /addskill Satisfaction, level
[19/4/2022 10:32:23] /addskill Satisfaction, level
[19/4/2022 10:32:23] /addskill Satisfaction, level
[19/4/2022 10:32:23] /addskill Satisfaction, level
[19/4/2022 10:32:23] /addskill Satisfaction, level
[19/4/2022 10:32:23] /addskill Satisfaction, level
[19/4/2022 10:32:24] /addskill Satisfaction, level
[19/4/2022 10:32:24] /addskill Satisfaction, level
[19/4/2022 10:32:24] /addskill Satisfaction, level
[19/4/2022 10:32:24] /addskill Satisfaction, level
[19/4/2022 10:32:24] /addskill Satisfaction, level
[19/4/2022 10:32:24] /addskill Satisfaction, level
[19/4/2022 10:32:24] /addskill Satisfaction, level
[19/4/2022 10:32:24] /addskill Satisfaction, level
[19/4/2022 10:32:25] /addskill Satisfaction, level
[19/4/2022 10:32:25] /addskill Satisfaction, level
[19/4/2022 10:32:25] /addskill Satisfaction, level
[19/4/2022 10:32:25] /addskill Satisfaction, level
[19/4/2022 10:32:25] /addskill Satisfaction, level
[19/4/2022 10:32:25] /addskill Satisfaction, level
[19/4/2022 10:32:25] /addskill Satisfaction, level
[19/4/2022 10:32:29] /addskill Satisfaction, level
[19/4/2022 10:32:29] /addskill Satisfaction, level
[19/4/2022 10:32:29] /addskill Satisfaction, level
[19/4/2022 10:32:29] /addskill Satisfaction, level
[19/4/2022 10:32:29] /addskill Satisfaction, level
[19/4/2022 10:32:29] /addskill Satisfaction, level
[19/4/2022 10:32:29] /addskill Satisfaction, level
[19/4/2022 10:32:29] /addskill Satisfaction, level
[19/4/2022 10:32:29] /addskill Satisfaction, level
[19/4/2022 10:32:30] /addskill Satisfaction, level
[19/4/2022 10:32:30] /addskill Satisfaction, level
[19/4/2022 10:32:30] /addskill Satisfaction, level
[19/4/2022 10:32:30] /addskill Satisfaction, level
[19/4/2022 10:32:30] /addskill Satisfaction, level
[19/4/2022 10:32:30] /addskill Satisfaction, level
[19/4/2022 10:32:30] /addskill Satisfaction, level
[19/4/2022 10:32:30] /addskill Satisfaction, level
[19/4/2022 10:32:30] /addskill Satisfaction, level
[19/4/2022 10:32:30] /addskill Satisfaction, level
[19/4/2022 10:32:30] /addskill Satisfaction, level
[19/4/2022 10:32:30] /addskill Satisfaction, level
[19/4/2022 10:32:30] /addskill Satisfaction, level
[19/4/2022 10:32:30] /addskill Satisfaction, level
[19/4/2022 10:32:30] /addskill Satisfaction, level
[19/4/2022 10:32:33] /addskill Satisfaction, level
[19/4/2022 10:32:34] /addskill Satisfaction, level
[19/4/2022 10:32:34] /addskill Satisfaction, level
[19/4/2022 10:32:34] /addskill Satisfaction, level
[19/4/2022 10:32:34] /addskill Satisfaction, level
[19/4/2022 10:32:34] /addskill Satisfaction, level
[19/4/2022 10:32:34] /addskill Satisfaction, level
[19/4/2022 10:32:34] /addskill Satisfaction, level
[19/4/2022 10:32:34] /addskill Satisfaction, level
[19/4/2022 10:32:34] /addskill Satisfaction, level
[19/4/2022 10:32:34] /addskill Satisfaction, level
