[16/5/2022 22:28:59] /t
[16/5/2022 22:29:51] /b boa noite meus amado
[16/5/2022 23:21:51] /goto thor~
[16/5/2022 23:22:53] /t
[16/5/2022 23:24:33] /goto caru~
[16/5/2022 23:25:49] /goto caru~
[16/5/2022 23:26:33] /goto caru~
[16/5/2022 23:27:16] /goto caru~
[16/5/2022 23:27:17] /goto caru~
[16/5/2022 23:27:18] /goto caru~
[17/5/2022 0:18:3] /goto caru~
[17/5/2022 0:18:5] /goto caru~
[17/5/2022 0:18:37] /goto jaja~
[17/5/2022 0:21:39] /goto gor~
[17/5/2022 0:39:7] /c twire~
[17/5/2022 0:39:19] /c twirer~
[17/5/2022 0:40:3] /c Twizervx
[17/5/2022 0:40:22] /addskill Twizervx, level 1
[17/5/2022 0:40:32] /addskill Twizervx, level 1
[17/5/2022 0:40:32] /addskill Twizervx, level 1
[17/5/2022 0:40:33] /addskill Twizervx, level 1
[17/5/2022 0:40:33] /addskill Twizervx, level 1
[17/5/2022 0:40:33] /addskill Twizervx, level 1
[17/5/2022 0:40:33] /addskill Twizervx, level 1
[17/5/2022 0:40:33] /addskill Twizervx, level 1
[17/5/2022 0:40:33] /addskill Twizervx, level 1
[17/5/2022 0:40:33] /addskill Twizervx, level 1
[17/5/2022 0:40:33] /addskill Twizervx, level 1
[17/5/2022 0:40:33] /addskill Twizervx, level 1
[17/5/2022 0:40:33] /addskill Twizervx, level 1
[17/5/2022 0:40:33] /addskill Twizervx, level 1
[17/5/2022 0:40:33] /addskill Twizervx, level 1
[17/5/2022 0:40:33] /addskill Twizervx, level 1
[17/5/2022 0:40:33] /addskill Twizervx, level 1
[17/5/2022 0:40:33] /addskill Twizervx, level 1
[17/5/2022 0:40:33] /addskill Twizervx, level 1
[17/5/2022 0:40:33] /addskill Twizervx, level 1
[17/5/2022 0:40:33] /addskill Twizervx, level 1
[17/5/2022 0:40:33] /addskill Twizervx, level 1
[17/5/2022 0:40:33] /addskill Twizervx, level 1
[17/5/2022 0:40:33] /addskill Twizervx, level 1
[17/5/2022 0:40:33] /addskill Twizervx, level 1
[17/5/2022 0:40:33] /addskill Twizervx, level 1
[17/5/2022 0:40:33] /addskill Twizervx, level 1
[17/5/2022 0:40:33] /addskill Twizervx, level 1
[17/5/2022 0:40:33] /addskill Twizervx, level 1
[17/5/2022 0:40:33] /addskill Twizervx, level 1
[17/5/2022 0:40:34] /addskill Twizervx, level 1
[17/5/2022 0:40:34] /addskill Twizervx, level 1
[17/5/2022 0:40:34] /addskill Twizervx, level 1
[17/5/2022 0:40:34] /addskill Twizervx, level 1
[17/5/2022 0:40:34] /addskill Twizervx, level 1
[17/5/2022 0:40:34] /addskill Twizervx, level 1
[17/5/2022 0:40:34] /addskill Twizervx, level 1
[17/5/2022 0:40:34] /addskill Twizervx, level 1
[17/5/2022 0:40:34] /addskill Twizervx, level 1
[17/5/2022 0:40:34] /addskill Twizervx, level 1
[17/5/2022 0:40:34] /addskill Twizervx, level 1
[17/5/2022 0:40:34] /addskill Twizervx, level 1
[17/5/2022 0:40:34] /addskill Twizervx, level 1
[17/5/2022 0:40:34] /addskill Twizervx, level 1
